date,home_team,score,away_team
01-02-2025,Newcastle,1 - 2,Fulham
17-08-2024,Ipswich,0 - 2,Liverpool
31-08-2024,Ipswich,1 - 1,Fulham
29-09-2024,Ipswich,2 - 2,Aston Villa
19-10-2024,Ipswich,0 - 2,Everton
02-11-2024,Ipswich,1 - 1,Leicester
24-11-2024,Ipswich,1 - 1,Man United
03-12-2024,Ipswich,0 - 1,Crystal Palace
08-12-2024,Ipswich,1 - 2,Bournemouth
21-12-2024,Ipswich,0 - 4,Newcastle
30-12-2024,Ipswich,2 - 0,Chelsea
16-01-2025,Ipswich,0 - 2,Brighton
19-01-2025,Ipswich,0 - 6,Man City
01-02-2025,Ipswich,1 - 2,Southampton
24-08-2024,Man City,4 - 1,Ipswich
14-09-2024,Brighton,0 - 0,Ipswich
21-09-2024,Southampton,1 - 1,Ipswich
05-10-2024,West Ham,4 - 1,Ipswich
26-10-2024,Brentford,4 - 3,Ipswich
10-11-2024,Tottenham,1 - 2,Ipswich
30-11-2024,Nott'm Forest,1 - 0,Ipswich
14-12-2024,Wolves,1 - 2,Ipswich
27-12-2024,Arsenal,1 - 0,Ipswich
05-01-2025,Fulham,2 - 2,Ipswich
25-01-2025,Liverpool,4 - 1,Ipswich
15-02-2025,Aston Villa,1 - 1,Ipswich
19-08-2024,Leicester,1 - 1,Tottenham
31-08-2024,Leicester,1 - 2,Aston Villa
21-09-2024,Leicester,1 - 1,Everton
05-10-2024,Leicester,1 - 0,Bournemouth
25-10-2024,Leicester,1 - 3,Nott'm Forest
23-11-2024,Leicester,1 - 2,Chelsea
03-12-2024,Leicester,3 - 1,West Ham
08-12-2024,Leicester,2 - 2,Brighton
22-12-2024,Leicester,0 - 3,Wolves
29-12-2024,Leicester,0 - 2,Man City
15-01-2025,Leicester,0 - 2,Crystal Palace
18-01-2025,Leicester,0 - 2,Fulham
15-02-2025,Leicester,0 - 2,Arsenal
24-08-2024,Fulham,2 - 1,Leicester
14-09-2024,Crystal Palace,2 - 2,Leicester
28-09-2024,Arsenal,4 - 2,Leicester
19-10-2024,Southampton,2 - 3,Leicester
02-11-2024,Ipswich,1 - 1,Leicester
10-11-2024,Man United,3 - 0,Leicester
30-11-2024,Brentford,4 - 1,Leicester
14-12-2024,Newcastle,4 - 0,Leicester
26-12-2024,Liverpool,3 - 1,Leicester
04-01-2025,Aston Villa,2 - 1,Leicester
26-01-2025,Tottenham,1 - 2,Leicester
01-02-2025,Everton,4 - 0,Leicester
25-08-2024,Liverpool,2 - 0,Brentford
14-09-2024,Liverpool,0 - 1,Nott'm Forest
21-09-2024,Liverpool,3 - 0,Bournemouth
20-10-2024,Liverpool,2 - 1,Chelsea
02-11-2024,Liverpool,2 - 1,Brighton
09-11-2024,Liverpool,2 - 0,Aston Villa
01-12-2024,Liverpool,2 - 0,Man City
14-12-2024,Liverpool,2 - 2,Fulham
26-12-2024,Liverpool,3 - 1,Leicester
05-01-2025,Liverpool,2 - 2,Man United
25-01-2025,Liverpool,4 - 1,Ipswich
16-02-2025,Liverpool,2 - 1,Wolves
17-08-2024,Ipswich,0 - 2,Liverpool
01-09-2024,Man United,0 - 3,Liverpool
28-09-2024,Wolves,1 - 2,Liverpool
05-10-2024,Crystal Palace,0 - 1,Liverpool
27-10-2024,Arsenal,2 - 2,Liverpool
24-11-2024,Southampton,2 - 3,Liverpool
04-12-2024,Newcastle,3 - 3,Liverpool
22-12-2024,Tottenham,3 - 6,Liverpool
29-12-2024,West Ham,0 - 5,Liverpool
14-01-2025,Nott'm Forest,1 - 1,Liverpool
18-01-2025,Brentford,0 - 2,Liverpool
01-02-2025,Bournemouth,0 - 2,Liverpool
12-02-2025,Everton,2 - 2,Liverpool
19-02-2025,Aston Villa,2 - 2,Liverpool
24-08-2024,Man City,4 - 1,Ipswich
14-09-2024,Man City,2 - 1,Brentford
22-09-2024,Man City,2 - 2,Arsenal
05-10-2024,Man City,3 - 2,Fulham
26-10-2024,Man City,1 - 0,Southampton
23-11-2024,Man City,0 - 4,Tottenham
